run_id,run_accuracy,pattern_weighted_accuracy,prompt_title,give_explanation,ask_explanation,model
0,0.0,0.0,problem_defined,1,1,gpt-4o
1,0.0,0.0,problem_defined,1,1,gpt-4o
2,0.0,0.0,problem_defined,1,1,gpt-4o
3,0.0,0.0,problem_defined,1,1,gpt-4o
4,0.0,0.0,problem_defined,1,1,gpt-4o
5,0.0,0.0,problem_defined,1,1,gpt-4o
6,0.0,0.0,problem_defined,1,1,gpt-4o
7,0.0,0.0,problem_defined,1,1,gpt-4o
8,0.0,0.0,problem_defined,1,1,gpt-4o
9,0.0,0.0,problem_defined,1,1,gpt-4o
10,0.0,0.0,problem_defined,1,1,gpt-4o
11,0.0,0.0,problem_defined,1,1,gpt-4o
12,0.0,0.0,problem_defined,1,1,gpt-4o
13,0.0,0.0,problem_defined,1,1,gpt-4o
14,1.0,1.0,problem_defined,1,1,gpt-4o
15,0.0,0.0,problem_defined,1,1,gpt-4o
16,0.0,0.0,problem_defined,1,1,gpt-4o
17,0.0,0.0,problem_defined,1,1,gpt-4o
18,1.0,1.0,problem_defined,1,1,gpt-4o
19,0.0,0.0,problem_defined,1,1,gpt-4o
20,0.0,0.0,problem_defined,1,1,gpt-4o
21,0.0,0.0,problem_defined,1,1,gpt-4o
22,0.0,0.0,problem_defined,1,1,gpt-4o
23,0.0,0.0,problem_defined,1,1,gpt-4o
24,0.0,0.0,problem_defined,1,1,gpt-4o
25,0.0,0.0,problem_defined,1,1,gpt-4o
26,0.0,0.0,problem_defined,1,1,gpt-4o
27,0.0,0.0,problem_defined,1,1,gpt-4o
28,0.0,0.0,problem_defined,1,1,gpt-4o
29,0.0,0.0,problem_defined,1,1,gpt-4o
30,0.0,0.0,problem_defined,1,1,gpt-4o
31,0.0,0.0,problem_defined,1,1,gpt-4o
32,0.0,0.0,problem_defined,1,1,gpt-4o
33,0.0,0.0,problem_defined,1,1,gpt-4o
34,0.0,0.0,problem_defined,1,1,gpt-4o
35,0.0,0.0,problem_defined,1,1,gpt-4o
36,0.0,0.0,problem_defined,1,1,gpt-4o
37,0.0,0.0,problem_defined,1,1,gpt-4o
38,0.0,0.0,problem_defined,1,1,gpt-4o
39,0.0,0.0,problem_defined,1,1,gpt-4o
40,0.0,0.0,problem_defined,1,1,gpt-4o
41,0.0,0.0,problem_defined,1,1,gpt-4o
42,0.0,0.0,problem_defined,1,1,gpt-4o
43,0.0,0.0,problem_defined,1,1,gpt-4o
44,0.0,0.0,problem_defined,1,1,gpt-4o
45,0.0,0.0,problem_defined,1,1,gpt-4o
46,0.0,0.0,problem_defined,1,1,gpt-4o
47,0.0,0.0,problem_defined,1,1,gpt-4o
48,0.0,0.0,problem_defined,1,1,gpt-4o
49,0.0,0.0,problem_defined,1,1,gpt-4o
50,0.0,0.0,problem_defined,1,1,gpt-4o
51,0.0,0.0,problem_defined,1,1,gpt-4o
52,0.0,0.0,problem_defined,1,1,gpt-4o
53,0.0,0.0,problem_defined,1,1,gpt-4o
54,0.0,0.0,problem_defined,1,1,gpt-4o
55,0.0,0.0,problem_defined,1,1,gpt-4o
56,0.0,0.0,problem_defined,1,1,gpt-4o
57,0.0,0.0,problem_defined,1,1,gpt-4o
58,0.0,0.0,problem_defined,1,1,gpt-4o
59,1.0,1.0,problem_defined,1,1,gpt-4o
60,0.0,0.0,problem_defined,1,1,gpt-4o
61,0.0,0.0,problem_defined,1,1,gpt-4o
62,0.0,0.0,problem_defined,1,1,gpt-4o
63,0.0,0.0,problem_defined,1,1,gpt-4o
64,1.0,1.0,problem_defined,1,1,gpt-4o
65,0.0,0.0,problem_defined,1,1,gpt-4o
66,0.0,0.0,problem_defined,1,1,gpt-4o
67,0.0,0.0,problem_defined,1,1,gpt-4o
68,0.0,0.0,problem_defined,1,1,gpt-4o
69,0.0,0.0,problem_defined,1,1,gpt-4o
70,0.0,0.0,problem_defined,1,1,gpt-4o
71,1.0,1.0,problem_defined,1,1,gpt-4o
72,0.0,0.0,problem_defined,1,1,gpt-4o
73,0.0,0.0,problem_defined,1,1,gpt-4o
74,0.0,0.0,problem_defined,1,1,gpt-4o
75,0.0,0.0,problem_defined,1,1,gpt-4o
76,0.0,0.0,problem_defined,1,1,gpt-4o
77,0.0,0.0,problem_defined,1,1,gpt-4o
78,0.0,0.0,problem_defined,1,1,gpt-4o
79,0.0,0.0,problem_defined,1,1,gpt-4o
80,0.0,0.0,problem_defined,1,1,gpt-4o
81,0.0,0.0,problem_defined,1,1,gpt-4o
82,0.0,0.0,problem_defined,1,1,gpt-4o
83,0.0,0.0,problem_defined,1,1,gpt-4o
84,0.0,0.0,problem_defined,1,1,gpt-4o
85,0.0,0.0,problem_defined,1,1,gpt-4o
86,0.0,0.0,problem_defined,1,1,gpt-4o
87,0.0,0.0,problem_defined,1,1,gpt-4o
88,0.0,0.0,problem_defined,1,1,gpt-4o
89,0.0,0.0,problem_defined,1,1,gpt-4o
90,0.0,0.0,problem_defined,1,1,gpt-4o
91,0.0,0.0,problem_defined,1,1,gpt-4o
92,0.0,0.0,problem_defined,1,1,gpt-4o
93,0.0,0.0,problem_defined,1,1,gpt-4o
94,0.0,0.0,problem_defined,1,1,gpt-4o
95,0.0,0.0,problem_defined,1,1,gpt-4o
96,0.0,0.0,problem_defined,1,1,gpt-4o
97,0.0,0.0,problem_defined,1,1,gpt-4o
98,0.0,0.0,problem_defined,1,1,gpt-4o
99,0.0,0.0,problem_defined,1,1,gpt-4o
